Country,Cases,Deaths,Recov,Arrival,Continent,Originated,Arrival_days,First_death,Death_Arrival
China,81054,3261,72244,12/31/2019,0,Wuhan,0,1/11/2020,11
Italy,53578,4825,6072,1/31/2020,2,Wuhan,31,3/4/2020,33
Spain,28603,1724,2575,1/31/2020,2,Wuhan,31,3/12/2020,41
United States,27207,349,176,1/21/2020,3,Wuhan,21,3/1/2020,40
Germany,23937,92,266,1/27/2020,2,Wuhan,27,3/9/2020,42
Iran,21638,1685,7913,2/19/2020,1,Wuhan,50,2/28/2020,9
France,14459,562,1587,2/25/2020,2,Wuhan,56,3/9/2020,13
South Korea,8897,104,2909,1/20/2020,1,Wuhan,20,2/20/2020,31
Switzerland,7014,80,15,2/25/2020,2,Wuhan,56,3/5/2020,9
United Kingdom,5037,234,98,1/31/2020,2,Wuhan,31,3/13/2020,42
Netherlands,4216,180,0,2/27/2020,2,Italy,58,3/6/2020,8
Belgium,3401,75,340,2/4/2020,2,Wuhan,35,3/11/2020,36
Austria,3026,9,9,2/25/2020,2,Huwei,56,3/12/2020,16
Norway,2249,7,0,2/26/2020,2,China,57,3/12/2020,15
Sweden,1925,21,16,1/31/2020,2,Wuhan,31,3/11/2020,40
Portugal,1600,14,5,3/2/2020,2,Italy ,62,3/16/2020,14
Denmark,1512,13,0,2/27/2020,2,Wuhan,58,12/3/2020,15
Australia,1356,7,43,1/25/2020,2,Wuhan,25,3/1/2020,36
Canada,1331,21,16,1/25/2020,3,Wuhan,25,3/19/2020,54
Malaysia,1306,10,139,1/25/2020,1,Wuhan,25,3/17/2020,52
Brazil,1201,18,2,2/25/2020,5,Italy,56,3/19/2020,23
Japan,1054,36,215,1/16/2020,1,Wuhan,16,2/26/2020,41
Turkey,947,21,0,3/11/2020,2,China,71,3/18/2020,7
Israel,945,1,15,2/21/2020,2,Wuhan,52,3/21/2020,29
Luxembourg,798,8,6,2/29/2020,2,Italy,60,3/13/2020,13
Ireland,785,3,5,2/29/2020,2,Wuhan,60,3/19/2020,19
Diamond Princess,712,9,574,2/29/2020,2,Wuhan,60,3/19/2020,19
Pakistan,646,3,5,2/26/2020,1,Wuhan,57,3/20/2020,23
Finland,626,1,10,1/28/2020,2,Wuhan,28,3/21/2020,53
Thailand,599,1,45,1/13/2020,1,Wuhan,13,3/1/2020,48
Iceland,568,0,22,2/28/2020,2,Wuhan,59,3/17/2020,18
Poland,563,7,1,3/4/2020,2,Germany,64,3/12/2020,8
Chile,537,1,8,3/3/2020,5,Europe,63,3/21/2020,18
Ecuador,532,7,3,2/14/2020,5,Spain,45,3/14/2020,29
Greece,530,13,19,2/26/2020,2,Italy,57,3/12/2020,15
Indonesia,514,48,29,3/2/2020,1,Japan,62,3/11/2020,9
Qatar,481,0,27,2/27/2020,1,Iran,58,3/28/2020,30
Singapore,455,2,144,1/23/2020,1,Wuhan,23,3/21/2020,58
Romania,433,2,64,2/26/2020,2,Italy,57,3/22/2020,25
Slovenia,414,1,0,3/4/2020,2,Italy,64,3/14/2020,10
Saudi Arabia,392,1,16,3/2/2020,1,Wuhan,62,3/24/2020,22
Philippines,380,25,15,1/30/2020,1,Wuhan,30,2/2/2020,3
Russia,367,1,16,1/31/2020,2,Wuhan,31,3/19/2020,48
India,341,5,24,1/30/2020,1,China,30,3/12/2020,42
Bahrain,333,1,149,2/21/2020,1,Iran,52,3/16/2020,24
Estonia,326,1,4,2/27/2020,2,Italy,58,2/25/2020,-2
Peru,318,5,1,3/6/2020,5,Spain,66,3/19/2020,13
Hong Kong,317,4,100,1/23/2020,1,Wuhan,23,2/4/2020,12
Egypt,294,10,41,2/14/2020,4,Wuhan,45,3/8/2020,23
Mexico,251,2,4,2/28/2020,5,Wuhan,59,3/19/2020,20
Lebanon,248,4,8,2/21/2020,4,China,52,3/10/2020,18
Panama,245,3,1,3/10/2020,5,Spain,70,3/10/2020,0
South Africa,240,0,0,3/1/2020,4,Wuhan,61,3/27/2020,26
Croatia,235,0,5,2/25/2020,2,Italy,56,3/18/2020,22
Argentina,225,4,27,3/3/2020,5,Italy,63,3/7/2020,4
Iraq,214,17,51,2/22/2020,1,Iran,53,3/3/2020,10
Colombia,210,1,3,3/6/2020,5,Wuhan,66,3/21/2020,15
Armenia,190,0,2,3/1/2020,1,Italy,61,3/26/2020,25
Serbia,188,2,2,3/6/2020,2,Italy,66,3/20/2020,14
Kuwait,188,0,30,2/24/2020,1,China,55,2/24/2020,0
Slovakia,178,0,7,3/6/2020,2,Wuhan,66,3/6/2020,0
San Marino,175,20,4,2/27/2020,5,Italy,58,3/1/2020,3
Bulgaria,171,3,3,3/8/2020,2,Wuhan,68,3/10/2020,2
Taiwan,169,2,28,1/21/2020,1,Wuhan,21,2/16/2020,26
United Arab Emirates,153,2,38,1/29/2020,1,Wuhan,29,3/20/2020,51
Algeria,139,15,65,2/17/2020,4,italy,48,3/12/2020,24
Latvia,139,0,1,3/2/2020,2,Italy,62,3/2/2020,0
Uruguay,135,0,0,3/13/2020,5,Italy,73,3/28/2020,15
Hungary,131,6,16,3/4/2020,1,Iran,64,3/15/2020,11
Costa Rica,117,2,2,2/22/2020,5,USA,53,3/18/2020,25
North Macedonia,114,1,1,2/26/2020,2,Italy,57,3/22/2020,25
Dominican Republic,112,3,0,3/1/2020,4,Italy,61,3/16/2020,15
Andorra,112,1,5,3/2/2020,2,Italy,62,3/22/2020,20
Vietnam,106,0,17,1/23/2020,1,Wuhan,23,1/23/2020,0
Lithuania,105,1,1,2/28/2020,2,Italy,59,3/20/2020,21
Morocco,104,3,3,3/2/2020,4,Italy,62,3/10/2020,8
Jordan,99,0,1,3/2/2020,2,Europe,62,3/27/2020,25
Bosnia and Herzegovina,94,1,2,3/5/2020,2,Italy,65,3/21/2020,16
Albania,89,2,3,3/8/2020,2,Italy,68,3/11/2020,3
Brunei,83,0,1,3/9/2020,1,Wuhan,69,3/28/2020,19
Sri Lanka,81,0,3,1/27/2020,1,Wuhan,27,3/29/2020,62
Moldova,80,1,2,3/7/2020,2,China,67,3/18/2020,11
Belarus,76,0,15,2/28/2020,2,Iran,59,2/28/2020,0
Cyprus,75,0,0,3/9/2020,2,Italy,69,3/21/2020,12
Tunisia,75,3,1,3/2/2020,4,Italy,62,3/18/2020,16
Malta,73,0,2,3/7/2020,4,Wuhan,67,3/7/2020,0
Venezuela,70,0,15,3/13/2020,5,Italy,73,3/26/2020,13
New Zealand,66,0,0,2/26/2020,5,Wuhan,57,3/29/2020,32
Azerbaijan,65,1,10,2/28/2020,1,Wuhan,59,3/12/2020,13
Burkina Faso,64,3,5,3/9/2020,3,France,69,3/21/2020,12
Palestine,59,0,17,3/5/2020,2,Wuhan,65,3/25/2020,20
Kazakhstan,57,0,0,3/12/2020,1,Germany,72,3/26/2020,14
Senegal,56,0,5,3/2/2020,4,France,62,3/2/2020,0
Oman,55,0,17,2/24/2020,1,Wuhan,55,2/24/2020,0
Georgia,54,0,3,2/26/2020,1,Wuhan,57,2/26/2020,0
Cambodia,53,0,2,1/27/2020,1,Wuhan,27,1/27/2020,0
Ukraine,47,3,8,3/3/2020,2,Italy,63,3/13/2020,10
Liechtenstein,44,0,0,3/3/2020,2,Switzerland,63,3/3/2020,0
Uzbekistan,42,0,0,3/15/2020,1,France,75,3/27/2020,12
Cameroon,40,0,2,3/6/2020,4,France,66,3/25/2020,19
Northern Cyprus,35,0,3,3/10/2020,2,Germany,70,3/28/2020,18
Afghanistan,34,0,1,2/24/2020,1,Iran,55,3/22/2020,27
Kosovo,31,0,0,3/13/2020,2,Italy,73,3/22/2020,9
Bangladesh,27,2,3,3/7/2020,1,Wuhan,67,3/18/2020,11
Nigeria,27,0,2,2/27/2020,4,Italy,58,3/23/2020,25
Honduras,26,0,0,3/10/2020,5,Spain,70,3/26/2020,16
DR Congo,23,1,0,3/10/2020,4,Wuhan,70,3/22/2020,12
Paraguay,22,1,0,3/7/2020,5,DN,67,3/20/2020,13
Ghana,21,1,0,3/12/2020,4,Norway,72,3/21/2020,9
Cuba,21,1,0,2/24/2020,5,Italy,55,3/18/2020,23
Bolivia,20,0,0,3/10/2020,5,Spain,70,3/29/2020,19
Jamaica,19,1,2,3/10/2020,5,China,70,3/18/2020,8
Macau,19,0,10,1/22/2020,1,Wuhan,22,1/22/2020,0
Mauritius,18,1,0,3/7/2020,4,UK,67,3/21/2020,14
Maldives,13,0,2,3/7/2020,1,Wuhan,67,3/7/2020,0
Mongolia,10,0,0,3/10/2020,1,Wuhan,70,3/10/2020,0
Bhutan,2,0,0,3/6/2020,1,DN,66,3/6/2020,0
Nepal,1,0,1,1/5/2020,1,Wuhan,5,1/5/2020,0
New York,30811,285,109,3/1/2020,4,Iran,61,3/14/2020,13
Washington,2580,132,1,1/21/2020,4,Wuhan,21,2/19/2020,29
Massachusetts,1838,15,1,2/1/2020,4,Wuhan,32,3/20/2020,48
